The power Details of router and TSV links ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 at 4000,,,,,,,,,,,,,,,,,,,,,,,
Internal Reports:,,,,,,,,,,,,,,,,,,,,,,,
Total Number of Detected Flits:		19175 ( Header: 3837 ),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 at 5000,,,,,,,,,,,,,,,,,,,,,,,
 ,5000,,,,,,,,,,,,,,,,,,,,,,
Router-0,0.0267068+0.00212075+0.000848881,0.0296765,,,,,,,,,,,,,,,,,,,,,
Router-1,0.0267068+0.00213508+0.000848881,0.0296908,,,,,,,,,,,,,,,,,,,,,
Router-2,0.0267068+0.00213393+0.000848882,0.0296896,,,,,,,,,,,,,,,,,,,,,
Router-3,0.0267068+0.00210759+0.000848881,0.0296633,,,,,,,,,,,,,,,,,,,,,
Router-4,0.0267068+0.00257266+0.0014148,0.0306943,,,,,,,,,,,,,,,,,,,,,
Router-5,0.0267068+0.002304+0.0014148,0.0304256,,,,,,,,,,,,,,,,,,,,,
Router-6,0.0267068+0.00217817+0.0014148,0.0302998,,,,,,,,,,,,,,,,,,,,,
Router-7,0.0267068+0.00259569+0.0014148,0.0307173,,,,,,,,,,,,,,,,,,,,,
Router-8,0.0267068+0.00254783+0.0014148,0.0306695,,,,,,,,,,,,,,,,,,,,,
Router-9,0.0267068+0.00227973+0.0014148,0.0304014,,,,,,,,,,,,,,,,,,,,,
Router-10,0.0267068+0.00234717+0.0014148,0.0304688,,,,,,,,,,,,,,,,,,,,,
Router-11,0.0267068+0.00242981+0.0014148,0.0305514,,,,,,,,,,,,,,,,,,,,,
Router-12,0.0267068+0.00146729+0.00141479,0.0295889,,,,,,,,,,,,,,,,,,,,,
Router-13,0.0267068+0.00137202+0.00141479,0.0294936,,,,,,,,,,,,,,,,,,,,,
Router-14,0.0267068+0.00141408+0.00141479,0.0295357,,,,,,,,,,,,,,,,,,,,,
Router-15,0.0267068+0.0014692+0.00141479,0.0295908,,,,,,,,,,,,,,,,,,,,,
Router-16,0.0267068+0.00129506+0.00141479,0.0294167,,,,,,,,,,,,,,,,,,,,,
Router-17,0.0267068+0.00123123+0.00141479,0.0293529,,,,,,,,,,,,,,,,,,,,,
Router-18,0.0267068+0.00151829+0.00141479,0.0296399,,,,,,,,,,,,,,,,,,,,,
Router-19,0.0267068+0.00130191+0.00141479,0.0294235,,,,,,,,,,,,,,,,,,,,,
Router-20,0.0267068+0.0014525+0.00141479,0.0295741,,,,,,,,,,,,,,,,,,,,,
Router-21,0.0267068+0.00142036+0.00141479,0.029542,,,,,,,,,,,,,,,,,,,,,
Router-22,0.0267068+0.00133162+0.00141479,0.0294532,,,,,,,,,,,,,,,,,,,,,
Router-23,0.0267068+0.00135718+0.00141479,0.0294788,,,,,,,,,,,,,,,,,,,,,
Router-24,0.0267068+0.00144821+0.00141479,0.0295698,,,,,,,,,,,,,,,,,,,,,
Router-25,0.0267068+0.00145956+0.00141479,0.0295812,,,,,,,,,,,,,,,,,,,,,
Router-26,0.0267068+0.0013516+0.00141479,0.0294732,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Internal Reports:,,,,,,,,,,,,,,,,,,,,,,,
Total Number of Detected Flits:		20750 ( Header: 4152 ),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 at 6000,,,,,,,,,,,,,,,,,,,,,,,
 ,6000,,,,,,,,,,,,,,,,,,,,,,
Router-0,0.0267068+0.00188462+0.000848881,0.0294403,,,,,,,,,,,,,,,,,,,,,
Router-1,0.0267068+0.00188022+0.000848882,0.0294359,,,,,,,,,,,,,,,,,,,,,
Router-2,0.0267068+0.00186955+0.000848882,0.0294253,,,,,,,,,,,,,,,,,,,,,
Router-3,0.0267068+0.00187544+0.000848881,0.0294311,,,,,,,,,,,,,,,,,,,,,
