The power Details of router and TSV links ,,,
,,,
	 ,,,
 	 at 4000,,,
  	 ,,,
power time ,,,
Router-16,0.0267068+0.0040172+0.0014148,0.0321388,32.1388
Router-17,0.0267068+0.00333195+0.0014148,0.0314536,31.4536
Router-18,0.0267068+0.00419519+0.0014148,0.0323168,32.3168
Router-19,0.0267068+0.0037116+0.0014148,0.0318332,31.8332
Router-20,0.0267068+0.00373578+0.0014148,0.0318574,31.8574
Router-21,0.0267068+0.00399943+0.0014148,0.0321211,32.1211
Router-22,0.0267068+0.00383504+0.0014148,0.0319567,31.9567
Router-23,0.0267068+0.00405794+0.0014148,0.0321796,32.1796
Router-24,0.0267068+0.0040095+0.0014148,0.0321311,32.1311
Router-25,0.0267068+0.00388227+0.0014148,0.0320039,32.0039
Router-26,0.0267068+0.00365912+0.0014148,0.0317807,31.7807
,,,0
Internal Reports:,,,0
Total Number of Detected Flits:		70277 ( Header: 14056 ),,,0
,,,0
	 ,,,0
 	 at 4000,,,0
  	 ,,,0
power time ,,,0
,4000,,0
Router-0,0.0267068+0.0102439+0.000848901,0.0377997,37.7997
Router-1,0.0267068+0.0103661+0.000848902,0.0379219,37.9219
Router-2,0.0267068+0.010522+0.000848903,0.0380777,38.0777
Router-3,0.0267068+0.0100762+0.0008489,0.0376319,37.6319
Router-4,0.0267068+0.0121303+0.00141481,0.040252,40.252
Router-5,0.0267068+0.0114688+0.00141481,0.0395905,39.5905
Router-6,0.0267068+0.0107851+0.00141481,0.0389068,38.9068
Router-7,0.0267068+0.0121172+0.00141482,0.0402388,40.2388
Router-8,0.0267068+0.0122181+0.00141481,0.0403398,40.3398
Router-9,0.0267068+0.0112882+0.00141481,0.0394098,39.4098
Router-10,0.0267068+0.0114115+0.00141481,0.0395332,39.5332
Router-11,0.0267068+0.0113208+0.00141481,0.0394424,39.4424
Router-12,0.0267068+0.00699251+0.0014148,0.0351141,35.1141
Router-13,0.0267068+0.0064039+0.0014148,0.0345255,34.5255
Router-14,0.0267068+0.0068077+0.0014148,0.0349293,34.9293
Router-15,0.0267068+0.00694962+0.0014148,0.0350712,35.0712
Router-16,0.0267068+0.00691641+0.0014148,0.035038,35.038
Router-17,0.0267068+0.00570839+0.0014148,0.03383,33.83
Router-18,0.0267068+0.00715103+0.0014148,0.0352727,35.2727
Router-19,0.0267068+0.00642497+0.0014148,0.0345466,34.5466
Router-20,0.0267068+0.00652772+0.0014148,0.0346493,34.6493
Router-21,0.0267068+0.00681204+0.0014148,0.0349337,34.9337
Router-22,0.0267068+0.00665031+0.0014148,0.0347719,34.7719
Router-23,0.0267068+0.00704294+0.0014148,0.0351646,35.1646
Router-24,0.0267068+0.00670385+0.0014148,0.0348255,34.8255
Router-25,0.0267068+0.00653389+0.0014148,0.0346555,34.6555
Router-26,0.0267068+0.00624172+0.0014148,0.0343634,34.3634
,,,0
Internal Reports:,,,0
Total Number of Detected Flits:		79878 ( Header: 15980 ),,,0
,,,0
	 ,,,0
 	 at 6000,,,0
  	 ,,,0
power time ,,,0
,6000,,0
Router-0,0.0267068+0.0069907+0.000848901,0.0345464,34.5464
Router-1,0.0267068+0.00716573+0.000848903,0.0347215,34.7215
Router-2,0.0267068+0.00727033+0.000848904,0.0348261,34.8261
Router-3,0.0267068+0.00689001+0.000848901,0.0344457,34.4457
Router-4,0.0267068+0.00831337+0.00141482,0.036435,36.435
Router-5,0.0267068+0.00781776+0.00141481,0.0359394,35.9394
Router-6,0.0267068+0.00742397+0.00141481,0.0355456,35.5456
Router-7,0.0267068+0.00830332+0.00141482,0.036425,36.425
Router-8,0.0267068+0.00837996+0.00141481,0.0365016,36.5016
Router-9,0.0267068+0.00779643+0.00141481,0.0359181,35.9181
Router-10,0.0267068+0.00783797+0.00141481,0.0359596,35.9596
Router-11,0.0267068+0.00781928+0.00141481,0.0359409,35.9409
Router-12,0.0267068+0.0048006+0.0014148,0.0329222,32.9222
Router-13,0.0267068+0.0043729+0.0014148,0.0324945,32.4945
Router-14,0.0267068+0.00463641+0.0014148,0.032758,32.758
Router-15,0.0267068+0.00472932+0.0014148,0.032851,32.851
Router-16,0.0267068+0.00472523+0.0014148,0.0328469,32.8469
Router-17,0.0267068+0.00394271+0.0014148,0.0320643,32.0643
